2,2;Addition;4;2021-12-12T22:10:31.429388
3,2;Addition;5;2021-12-12T22:10:31.429672
2,2;Addition;4;2021-12-12T22:10:31.431164
3,2;Addition;5;2021-12-12T22:10:31.431257
2,2;Addition;4;2021-12-12T22:10:31.432705
3,2;Addition;5;2021-12-12T22:10:31.432798
2,2;Addition;4;2021-12-12T22:10:31.434127
3,2;Addition;5;2021-12-12T22:10:31.434212
2,2;Addition;4;2021-12-12T22:10:31.435602
3,2;Addition;5;2021-12-12T22:10:31.435694
1,2;Subtraction;-3;2021-12-12T22:10:31.437019
1,2;Multiplication;2.0;2021-12-12T22:10:31.438340
4,5;Division;0.05;2021-12-12T22:10:31.439658